Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2017-08-12,17:30,Matchweek 1,Sat,Away,W,2,0,Brighton,1.9,0.3,77,"30,415",Vincent Kompany,3-1-4-2,4-4-2,Michael Oliver,Match Report,
2017-08-21,20:00,Matchweek 2,Mon,Home,D,1,1,Everton,1.1,0.6,64,"49,108",Vincent Kompany,3-1-4-2,3-5-2,Robert Madley,Match Report,
2017-08-26,12:30,Matchweek 3,Sat,Away,W,2,1,Bournemouth,1.4,0.5,70,"10,419",Vincent Kompany,4-3-3,5-3-2,Mike Dean,Match Report,
2017-09-09,12:30,Matchweek 4,Sat,Home,W,5,0,Liverpool,2.4,0.7,66,"54,172",David Silva,3-1-4-2,4-3-3,Jonathan Moss,Match Report,
2017-09-16,15:00,Matchweek 5,Sat,Away,W,6,0,Watford,3.3,0.5,67,"20,305",David Silva,4-3-3,4-2-3-1,Anthony Taylor,Match Report,
2017-09-23,15:00,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,4.5,0.6,71,"53,526",David Silva,4-3-3,4-2-3-1,Niel Swarbrick,Match Report,
2017-09-30,17:30,Matchweek 7,Sat,Away,W,1,0,Chelsea,0.9,0.5,61,"41,530",David Silva,4-3-3,3-5-1-1,Martin Atkinson,Match Report,
2017-10-14,15:00,Matchweek 8,Sat,Home,W,7,2,Stoke City,3.8,0.5,79,"54,128",David Silva,4-3-3,4-4-1-1,Craig Pawson,Match Report,
2017-10-21,15:00,Matchweek 9,Sat,Home,W,3,0,Burnley,3.1,0.2,77,"54,118",David Silva,4-3-3,4-4-1-1,Roger East,Match Report,
2017-10-28,15:00,Matchweek 10,Sat,Away,W,3,2,West Brom,2.3,1.5,77,"24,003",David Silva,4-3-3,3-5-2,Mike Jones,Match Report,
2017-11-05,14:15,Matchweek 11,Sun,Home,W,3,1,Arsenal,1.8,0.3,57,"54,286",David Silva,4-3-3,3-4-3,Michael Oliver,Match Report,
2017-11-18,15:00,Matchweek 12,Sat,Away,W,2,0,Leicester City,1.9,0.2,73,"31,908",Vincent Kompany,4-3-3,4-4-1-1,Graham Scott,Match Report,
2017-11-26,16:00,Matchweek 13,Sun,Away,W,2,1,Huddersfield,2.6,0.6,78,"24,121",Vincent Kompany,4-3-3,4-5-1,Craig Pawson,Match Report,
2017-11-29,20:00,Matchweek 14,Wed,Home,W,2,1,Southampton,1.4,1.3,74,"53,407",Vincent Kompany,4-3-3,5-4-1,Paul Tierney,Match Report,
2017-12-03,16:00,Matchweek 15,Sun,Home,W,2,1,West Ham,2.3,0.6,76,"54,203",David Silva,4-3-3,3-5-1-1,Mike Dean,Match Report,
2017-12-10,16:30,Matchweek 16,Sun,Away,W,2,1,Manchester Utd,1.7,1.4,64,"74,847",Vincent Kompany,4-3-3,4-2-3-1,Michael Oliver,Match Report,
2017-12-13,19:45,Matchweek 17,Wed,Away,W,4,0,Swansea City,2.7,0.6,78,"20,870",David Silva,4-3-3,4-5-1,Anthony Taylor,Match Report,
2017-12-16,17:30,Matchweek 18,Sat,Home,W,4,1,Tottenham,3.4,0.2,52,"54,214",Fernandinho,4-3-3,4-1-2-1-2,Craig Pawson,Match Report,
2017-12-23,15:00,Matchweek 19,Sat,Home,W,4,0,Bournemouth,1.5,0.4,78,"54,270",Vincent Kompany,4-3-3,3-4-3,Mike Jones,Match Report,
2017-12-27,19:45,Matchweek 20,Wed,Away,W,1,0,Newcastle Utd,1.8,0.2,77,"52,311",Vincent Kompany,4-3-3,5-4-1,Andre Marriner,Match Report,
2017-12-31,12:00,Matchweek 21,Sun,Away,D,0,0,Crystal Palace,1.3,1.3,74,"25,804",Fernandinho,4-3-3,4-3-3,Jonathan Moss,Match Report,
2018-01-02,20:00,Matchweek 22,Tue,Home,W,3,1,Watford,2.1,1.0,76,"53,556",David Silva,4-3-3,4-2-3-1,Lee Mason,Match Report,
2018-01-14,16:00,Matchweek 23,Sun,Away,L,3,4,Liverpool,0.8,0.8,64,"53,285",Fernandinho,4-3-3,4-3-3,Andre Marriner,Match Report,
2018-01-20,17:30,Matchweek 24,Sat,Home,W,3,1,Newcastle Utd,2.1,1.0,80,"54,452",David Silva,4-3-3,5-4-1,Paul Tierney,Match Report,
2018-01-31,20:00,Matchweek 25,Wed,Home,W,3,0,West Brom,2.3,0.2,73,"53,241",David Silva,4-3-3,4-4-1-1,Robert Madley,Match Report,
2018-02-03,12:30,Matchweek 26,Sat,Away,D,1,1,Burnley,1.8,0.9,70,"21,658",Vincent Kompany,4-3-3,4-4-2,Martin Atkinson,Match Report,
2018-02-10,17:30,Matchweek 27,Sat,Home,W,5,1,Leicester City,2.5,0.1,70,"54,416",Fernandinho,4-3-3,3-5-2,Mike Jones,Match Report,
2018-03-01,19:45,Matchweek 28,Thu,Away,W,3,0,Arsenal,1.5,1.3,54,"58,420",Vincent Kompany,4-3-3,4-2-3-1,Andre Marriner,Match Report,
2018-03-04,16:00,Matchweek 29,Sun,Home,W,1,0,Chelsea,0.9,0.1,71,"54,328",David Silva,4-3-3,3-4-3,Michael Oliver,Match Report,
2018-03-12,20:00,Matchweek 30,Mon,Away,W,2,0,Stoke City,1.6,0.4,76,"29,138",Vincent Kompany,4-3-3,4-3-3,Jonathan Moss,Match Report,
2018-03-31,17:30,Matchweek 32,Sat,Away,W,3,1,Everton,1.5,0.9,81,"39,221",Vincent Kompany,3-5-2,4-2-3-1,Paul Tierney,Match Report,
2018-04-07,17:30,Matchweek 33,Sat,Home,L,2,3,Manchester Utd,2.6,1.1,64,"54,259",Vincent Kompany,4-3-3,4-3-3,Martin Atkinson,Match Report,
2018-04-14,19:45,Matchweek 34,Sat,Away,W,3,1,Tottenham,2.9,0.4,52,"80,811",Vincent Kompany,4-3-3,4-2-3-1,Jonathan Moss,Match Report,
2018-04-22,16:30,Matchweek 35,Sun,Home,W,5,0,Swansea City,3.2,0.3,82,"54,387",Vincent Kompany,4-3-3,5-4-1,Craig Pawson,Match Report,
2018-04-29,14:15,Matchweek 36,Sun,Away,W,4,1,West Ham,2.4,0.2,74,"56,904",Fernandinho,4-3-3,3-5-1-1,Niel Swarbrick,Match Report,
2018-05-06,13:30,Matchweek 37,Sun,Home,D,0,0,Huddersfield,0.8,0.2,78,"54,350",David Silva,4-3-3,5-3-2,Mike Dean,Match Report,
2018-05-09,20:00,Matchweek 31,Wed,Home,W,3,1,Brighton,1.6,1.2,73,"54,013",Yaya Touré,4-3-3,4-5-1,Paul Tierney,Match Report,
2018-05-13,15:00,Matchweek 38,Sun,Away,W,1,0,Southampton,0.8,0.5,69,"31,882",Fernandinho,4-3-3,5-4-1,Andre Marriner,Match Report,
